,STOCK_FAMILY,STOCK_CATEGORY_NEW,STOCK_CATEGORY,TARGET_TYPE,TRANSIT_TYPE,TERMINAL_TYPE,REFINERY_AREA_DESC,LOCATION_LEVEL_0,LOCATION_LEVEL_1,LOCATION_LEVEL_2,REFINERY_AREA,VOLUME_MBD_TARGET,RECORD_ID,YEAR,MONTH,VOLUME_MBD_ACTUAL
0,CRUDE,CRUDE,CRUDE,CALCULATED,IN TANK,IN TRANSIT,PASCAGOULA,US EAST,PASCAGOULA SUPPLY AREA,PASCAGOULA REFINERY,PASC,78.82,e7c5a8a2b253d2d195f32439f4e7b9259cc2c8b5f47a07ca9df7dc406d59cfc6,2021,Oct,223.05291701056484
1,CRUDE,CRUDE,CRUDE,CALCULATED,IN TANK,IN TRANSIT,PASCAGOULA,US EAST,PASCAGOULA SUPPLY AREA,PASCAGOULA REFINERY,PASC,78.82,dfc68bbc395067134d5d6e54be9352a65b0d6ba38e2d5358968e252cd5131f9b,2021,Nov,224.1910119731986
2,CRUDE,CRUDE,CRUDE,CALCULATED,IN TANK,IN TRANSIT,PASCAGOULA,US EAST,PASCAGOULA SUPPLY AREA,PASCAGOULA REFINERY,PASC,78.82,4459498978e9508cf0dc4071eeb414248aad4efdc2110a704f54541c01bb9900,2021,Dec,221.21289828954332
3,CRUDE,CRUDE,CRUDE,CALCULATED,IN TANK,IN TRANSIT,PASCAGOULA,US EAST,PASCAGOULA SUPPLY AREA,PASCAGOULA REFINERY,PASC,78.82,6501692fba7eddfaec805e76bb486092f0003a6015cfb96027c83efb8f6de93a,2022,Jan,212.71377107957076
4,CRUDE,CRUDE,CRUDE,CALCULATED,IN TANK,IN TRANSIT,PASCAGOULA,US EAST,PASCAGOULA SUPPLY AREA,PASCAGOULA REFINERY,PASC,78.82,c53d8bd441c8dea12bf2bd575699b3f3185107aac76cf5235f2ffb038c3c85ac,2022,Feb,214.54886771644163
5,CRUDE,CRUDE,CRUDE,CALCULATED,IN TANK,IN TRANSIT,PASCAGOULA,US EAST,PASCAGOULA SUPPLY AREA,PASCAGOULA REFINERY,PASC,78.82,a3b6976a381ea95d48acfe65f890e1032f6c4fe70ec7069988ea5dc44b1fc8d3,2022,Mar,261.75415125828476
6,CRUDE,CRUDE,CRUDE,CALCULATED,IN TANK,IN TRANSIT,PASCAGOULA,US EAST,PASCAGOULA SUPPLY AREA,PASCAGOULA REFINERY,PASC,78.82,243fd04e3ae3053f14bef53cfe663d3ff3202a20ad86816444b205b1e4e4189d,2022,Apr,225.21752045320497
7,CRUDE,CRUDE,CRUDE,CALCULATED,IN TANK,IN TRANSIT,PASCAGOULA,US EAST,PASCAGOULA SUPPLY AREA,PASCAGOULA REFINERY,PASC,78.82,b844a275a3064affedc90010f9c04b7e8d32785f720fc7298634c45a9a02d663,2022,May,210.148810349482
8,CRUDE,CRUDE,CRUDE,CALCULATED,IN TANK,IN TRANSIT,PASCAGOULA,US EAST,PASCAGOULA SUPPLY AREA,PASCAGOULA REFINERY,PASC,78.82,dc091a726fc4eaf210425c540824e7015020bbd3d7c2ae8e47faa4c1e5c39fbf,2022,Jun,210.31936454534198
9,CRUDE,CRUDE,CRUDE,CALCULATED,IN TANK,IN TRANSIT,PASCAGOULA,US EAST,PASCAGOULA SUPPLY AREA,PASCAGOULA REFINERY,PASC,78.82,10e10016d0cfc5cd7aa5ff60e2e1ace160a008fc81c432eb06275650495091c3,2022,Jul,211.7135786906609
10,CRUDE,CRUDE,CRUDE,CALCULATED,IN TANK,IN TRANSIT,PASCAGOULA,US EAST,PASCAGOULA SUPPLY AREA,PASCAGOULA REFINERY,PASC,78.82,cf041a1d54c1e3038e79e41dc796828a7fce9bc6fddf02a240847c7443218a69,2022,Aug,213.926186172836
11,CRUDE,CRUDE,CRUDE,CALCULATED,IN TANK,IN TRANSIT,PASCAGOULA,US EAST,PASCAGOULA SUPPLY AREA,PASCAGOULA REFINERY,PASC,78.82,46df1cefc64f299c819049ad0449055954519c7c9e30d6a65b38db44914c867c,2022,Sep,219.77010354017077
12,CRUDE,CRUDE,CRUDE,CALCULATED,IN TANK,IN TRANSIT,PASCAGOULA,US EAST,PASCAGOULA SUPPLY AREA,PASCAGOULA REFINERY,PASC,78.82,1d9ba09042521d52a45240546dc0a9977582efd6de62d68a222d7f1bcbfb403a,2022,Oct,215.08347763626864
